0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/user/getMenuBuf?_dc=1422107775035 HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/weshop/kucun/kcsearch.js HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/js/utils.js HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/img/menu/menu-1.gif HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/img/menu/menu-11.gif HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/img/menu/menu-12.gif HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/elbow.gif HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/elbow-end.gif HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/img/menu/menu-15.gif HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/panel/light-hd.gif HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/img/menu/menu-6.gif HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/panel/top-bottom.gif HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/panel/corners-sprite.gif HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/panel/left-right.gif HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/grid3-hrow.gif HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/grid3-hd-btn.gif HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/dd/drop-no.gif HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/col-move-bottom.gif HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/col-move-top.gif HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:15 +0800] "GET /WeiShop/static/img/btn/list.gif HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:16 +0800] "GET /WeiShop/search/findKcByParams?_dc=1422107775711 HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:25 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/row-over.gif HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:30 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/leaf.gif HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [24/Jan/2015:21:56:30 +0800] "GET /WeiShop/static/img/menu/menu-53.gif HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:00 +0800] "GET /WeiShop/static/img/menu/menu-63.gif HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:00 +0800] "GET /WeiShop/static/img/menu/menu-61.gif HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:00 +0800] "GET /WeiShop/static/img/menu/menu-62.gif HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/struts2/power/user HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/weshop/power/user.js HTTP/1.1" 200 5494
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/page-first-disabled.gif HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/page-prev-disabled.gif HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/page-next-disabled.gif HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/page-last-disabled.gif HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/refresh.gif HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/img/btn/add.gif HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/img/btn/edit.gif HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/img/btn/remove.gif HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/ext/resources/images/default/box/tb-blue.gif HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/refresh-disabled.gif HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:02 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/loading.gif HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:03 +0800] "POST /WeiShop/user/findPageUser.do HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:03 +0800] "GET /WeiShop/static/ext/resources/images/default/grid/grid3-special-col-bg.gif HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:23:04 +0800] "GET /WeiShop/role/findRoleType.do?_dc=1422109382877 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:26:21 +0800] "GET /WeiShop/login.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:26:23 +0800] "POST /WeiShop/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:26:23 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:26:23 +0800] "GET /WeiShop/struts2/kucun/kcsearch HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:26:24 +0800] "GET /WeiShop/user/getMenuBuf?_dc=1422109584013 HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:26:24 +0800] "GET /WeiShop/search/findKcByParams?_dc=1422109584389 HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:26:58 +0800] "GET /WeiShop/login.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:01 +0800] "POST /WeiShop/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:01 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:01 +0800] "GET /WeiShop/struts2/kucun/kcsearch HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:01 +0800] "GET /WeiShop/user/getMenuBuf?_dc=1422109621399 HTTP/1.1" 200 7941
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:02 +0800] "GET /WeiShop/search/findKcByParams?_dc=1422109621759 HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:55 +0800] "GET /WeiShop/struts2/ziliao/spxx HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:55 +0800] "GET /WeiShop/static/weshop/ziliao/spxx.js HTTP/1.1" 200 35117
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:55 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/folder.gif HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:55 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/arrows.gif HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:56 +0800] "GET /WeiShop/spdw/findAllSpdw.do?_dc=1422109675631 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:56 +0800] "POST /WeiShop/splb/findSplbTree.do HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:56 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/folder-open.gif HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:27:56 +0800] "GET /WeiShop/static/img/menu/folder.gif HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:08 +0800] "GET /WeiShop/struts2/power/user HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:09 +0800] "GET /WeiShop/role/findRoleType.do?_dc=1422109689043 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:09 +0800] "POST /WeiShop/user/findPageUser.do HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:15 +0800] "GET /WeiShop/struts2/power/role HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:16 +0800] "GET /WeiShop/static/weshop/power/role.js HTTP/1.1" 200 6660
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:16 +0800] "GET /WeiShop/static/ext/ux/TreeCheckNodeUI.js HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:16 +0800] "POST /WeiShop/role/findPageRole.do HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:16 +0800] "GET /WeiShop/static/img/btn/edit2.gif HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/shadow.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/shadow-lr.png HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/shadow-c.png HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/window/right-corners.png HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/window/left-right.png HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/window/left-corners.png HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/window/top-bottom.png HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "POST /WeiShop/struts2/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/sizer/s-handle.gif HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/sizer/sw-handle.gif HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/sizer/ne-handle.gif HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/sizer/nw-handle.gif HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/sizer/se-handle.gif HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:18 +0800] "GET /WeiShop/static/ext/resources/images/default/sizer/e-handle.gif HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "POST /WeiShop/role/findRoleMenu.do?roleid=1 HTTP/1.1" 200 12746
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/elbow-end-minus.gif HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/elbow-line.gif HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/ext/resources/images/default/tree/elbow-minus.gif HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-51.gif HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-54.gif HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-5.gif HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-41.gif HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-4.gif HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-45.gif HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-2.gif HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-13.gif HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-33.gif HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-3.gif HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-31.gif HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:28:19 +0800] "GET /WeiShop/static/img/menu/menu-32.gif HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [24/Jan/2015:22:30:09 +0800] "GET /WeiShop/struts2/power/user HTTP/1.1" 200 1524
