0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:00:31 +0800] "POST /WeiShop/jh/getDjCode.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:00:31 +0800] "GET /WeiShop/gys/findGysComb.do?_dc=1422147631518 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:11:32 +0800] "GET /WeiShop/login.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:11:35 +0800] "POST /WeiShop/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:11:35 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:11:35 +0800] "GET /WeiShop/struts2/kucun/kcsearch HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:11:35 +0800] "GET /WeiShop/user/getMenuBuf?_dc=1422148295808 HTTP/1.1" 200 8021
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:11:36 +0800] "GET /WeiShop/search/findKcByParams?_dc=1422148296114 HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:11:42 +0800] "GET /WeiShop/struts2/comment/allcomment HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:11:42 +0800] "GET /WeiShop/static/weshop/comment/allcomment.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/ext/adapter/ext/ext-base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/ext/ext-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/ext/ext-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/ext/resources/css/ext-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/css/ext-icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/ext/ux/ueditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/ext/ux/SearchField.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/ext/weshop/ImageHtmlEditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2015:09:12:31 +0800] "GET /WeiShop/static/ext/weshop/imagePanel.js HTTP/1.1" 304 -
