127.0.0.1 - - [14/Jan/2015:23:53:52 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:12 +0800] "GET /WeiShop/login.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:12 +0800] "GET /WeiShop/static/img/login/bg.jpg HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:12 +0800] "GET /WeiShop/static/img/login/logo.gif HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:12 +0800] "GET /WeiShop/static/img/login/login_bg.jpg HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:12 +0800] "GET /WeiShop/static/img/login/submit.gif HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:12 +0800] "GET /WeiShop/static/img/login/reset.gif HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:13 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "POST /WeiShop/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/admin HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/css/ext-icon.css HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/ext/resources/css/ext-all.css HTTP/1.1" 200 138471
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/ext/ext-lang-zh_CN.js HTTP/1.1" 200 5019
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/ext/ext-all.js HTTP/1.1" 200 714418
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/ext/adapter/ext/ext-base.js HTTP/1.1" 200 27115
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/js/Clock.js HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/ext/ux/SearchField.js HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/weshop/main/index.js HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [14/Jan/2015:23:54:15 +0800] "GET /WeiShop/static/weshop/main/App.js HTTP/1.1" 200 1655
